895.211	1440.00
896.727	1436.00
898.243	1442.00
899.759	1451.00
901.275	1451.00
902.792	1449.00
904.308	1455.00
905.824	1459.00
907.341	1448.00
908.858	1424.00
910.374	1413.00
911.891	1429.00
913.408	1452.00
914.924	1469.00
916.441	1464.00
917.958	1432.00
919.476	1416.00
920.993	1434.00
922.510	1450.00
924.027	1453.00
925.545	1448.00
927.062	1441.00
928.580	1448.00
930.098	1462.00
931.615	1462.00
933.133	1456.00
934.651	1451.00
936.169	1438.00
937.687	1434.00
939.205	1446.00
940.723	1456.00
942.242	1457.00
943.760	1459.00
945.278	1468.00
946.797	1480.00
948.315	1486.00
949.834	1477.00
951.353	1463.00
952.872	1457.00
954.390	1461.00
955.909	1464.00
957.429	1464.00
958.948	1452.00
960.467	1439.00
961.986	1448.00
963.505	1464.00
965.025	1464.00
966.544	1452.00
968.064	1438.00
969.583	1431.00
971.103	1441.00
972.623	1454.00
974.143	1459.00
975.663	1460.00
977.183	1462.00
978.703	1468.00
980.223	1474.00
981.743	1470.00
983.264	1457.00
984.784	1444.00
986.304	1442.00
987.825	1450.00
989.346	1452.00
990.866	1437.00
992.387	1424.00
993.908	1422.00
995.429	1430.00
996.950	1444.00
998.471	1452.00
999.992	1447.00
1001.513	1438.00
1003.034	1441.00
1004.556	1458.00
1006.077	1470.00
1007.598	1464.00
1009.120	1449.00
1010.642	1443.00
1012.163	1445.00
1013.685	1448.00
1015.207	1453.00
1016.729	1455.00
1018.251	1447.00
1019.773	1452.00
1021.295	1474.00
1022.817	1481.00
1024.339	1476.00
1025.862	1468.00
1027.384	1450.00
1028.907	1436.00
1030.429	1439.00
1031.952	1445.00
1033.475	1444.00
1034.997	1450.00
1036.520	1453.00
1038.043	1443.00
1039.566	1439.00
1041.089	1454.00
1042.612	1471.00
1044.135	1467.00
1045.659	1459.00
1047.182	1463.00
1048.706	1464.00
1050.229	1465.00
1051.752	1462.00
1053.276	1450.00
1054.800	1444.00
1056.324	1449.00
1057.847	1462.00
1059.371	1474.00
1060.895	1474.00
1062.419	1470.00
1063.943	1469.00
1065.468	1468.00
1066.992	1457.00
1068.516	1444.00
1070.041	1443.00
1071.565	1458.00
1073.090	1466.00
1074.614	1447.00
1076.139	1424.00
1077.664	1426.00
